Wall time,Step,Value
1587270182.397045,223,-102.1436996459961
1587270182.6132538,313,-257.3391418457031
1587270182.8357935,414,-171.8934783935547
1587270182.8358731,491,-83.07131958007812
1587270183.0613246,585,-188.7863311767578
1587270183.2802663,700,-266.22503662109375
1587270183.5251882,873,-388.4574279785156
1587270183.7499447,993,-174.71328735351562
1587270184.020932,1156,-330.9233703613281
1587270184.480557,1320,-119.39856719970703
1587270184.4806187,1395,-92.80767822265625
1587270184.6985238,1486,-267.9792175292969
1587270184.9041076,1580,-261.3951110839844
1587270184.904173,1666,-63.77021026611328
1587270185.1209483,1773,-132.70045471191406
1587270185.5826018,1940,-235.0476837158203
1587270185.58268,2032,-109.86375427246094
1587270185.820465,2121,-94.23343658447266
1587270186.0545976,2232,-106.0506362915039
1587270186.307674,2346,-105.4173812866211
1587270186.5431604,2489,-229.27755737304688
1587270186.7625701,2598,-24.99090003967285
1587270186.9882214,2716,-251.7396240234375
1587270186.988289,2813,-100.61197662353516
1587270187.2147539,2919,-227.0519561767578
1587270187.4630888,3070,-342.88031005859375
1587270187.68298,3169,-24.804889678955078
1587270187.8851678,3271,-120.19135284423828
1587270188.1062808,3366,-437.2428894042969
1587270188.3173945,3538,-274.456298828125
1587270188.553077,3695,-180.70582580566406
1587270189.0014577,3871,-333.1732177734375
1587270189.0015385,3984,-219.37986755371094
1587270189.4525206,4133,-229.92645263671875
1587270189.6939626,4308,-323.4647521972656
1587270189.918976,4443,-243.77442932128906
1587270190.1375635,4577,-183.38665771484375
1587270190.6788354,4861,-242.3250274658203
1587270190.894203,4948,-103.73844909667969
1587270191.1256554,5111,-170.42527770996094
1587270191.3407314,5246,-65.63678741455078
1587270191.5622854,5325,-30.997636795043945
1587270191.7846746,5479,-6.062400817871094
1587270192.016094,5606,-170.344482421875
1587270192.2590144,5708,-136.67559814453125
1587270192.4763997,5838,-252.9558563232422
1587270192.72309,6036,-478.16766357421875
1587270192.946806,6172,-280.6443176269531
1587270193.1942244,6302,-83.20498657226562
1587270193.643242,6490,-104.80778503417969
1587270193.8763456,6652,-332.04296875
1587270194.082474,6750,-218.31556701660156
1587270194.3234525,6917,-163.55154418945312
1587270194.5711894,7073,-62.882041931152344
1587270194.7950118,7187,-129.05459594726562
1587270195.0300226,7292,-217.81480407714844
1587270195.244288,7414,-197.6708221435547
1587270195.492422,7604,-222.11077880859375
1587270195.7130141,7715,-119.5083999633789
1587270195.9286356,7848,-224.15451049804688
1587270196.3755443,8013,-63.47144317626953
1587270196.6424053,8246,-45.227081298828125
1587270196.863159,8330,-52.496795654296875
1587270197.066008,8430,-53.75774383544922
1587270197.3162606,8601,-189.4847869873047
1587270197.5242674,8699,-102.0476303100586
1587270197.7431595,8817,-128.3406219482422
1587270197.7432215,8891,-68.08934020996094
1587270197.9635768,8989,-118.55596160888672
1587270198.1782875,9127,-152.92247009277344
1587270198.6217856,9288,-252.49618530273438
1587270198.8473792,9463,-100.09058380126953
1587270199.083941,9641,-204.2527313232422
1587270199.282732,9717,-85.66336059570312
1587270199.7664576,9954,-142.8299102783203
1587270199.9995768,10095,-76.50017547607422
1587270200.2560725,10286,48.96379470825195
1587270201.0142622,10601,-317.73583984375
1587270201.27669,10811,-61.45964813232422
1587270201.4979722,10900,-27.711381912231445
1587270201.9602554,11102,-93.6042251586914
1587270202.175982,11253,-150.17291259765625
1587270202.410562,11366,-30.445907592773438
1587270202.9079702,11623,-294.36517333984375
1587270203.1354554,11764,-50.085182189941406
1587270203.346981,11904,-58.20358657836914
1587270203.5854595,12046,-19.82866668701172
1587270203.8087223,12159,-201.8000030517578
1587270204.014267,12273,-27.027515411376953
1587270204.2719307,12452,-120.62850189208984
1587270204.7808864,12691,-418.0218200683594
1587270205.0205956,12847,-72.0160140991211
1587270205.22942,12971,12.431159019470215
1587270205.4532564,13080,-402.9504089355469
1587270205.9167387,13296,-266.89306640625
1587270206.140528,13418,-159.1562042236328
1587270206.3786333,13628,-265.5579528808594
1587270206.6083224,13730,-100.74555206298828
1587270207.4961123,14102,-39.21937942504883
1587270207.7252173,14213,3.0926451683044434
1587270207.7252917,14313,-42.55195236206055
1587270211.547608,15321,-1.6152572631835938
1587270212.0416925,15554,-42.474422454833984
1587270212.2678185,15668,-0.37846308946609497
1587270212.7485502,15875,-174.5928192138672
1587270213.2997422,16190,-23.709041595458984
1587270213.7752259,16388,-28.60467529296875
1587270214.007705,16537,-36.6961555480957
1587270214.8263152,16805,-109.119384765625
1587270216.2269788,17239,-369.7677307128906
1587270216.9377403,17457,-86.61605072021484
1587270217.2718406,17553,-14.178985595703125
1587270218.066185,17867,-297.091064453125
1587270218.7539752,18071,-282.12188720703125
1587270223.025993,19078,52.03938674926758
1587270223.5256789,19302,-457.59991455078125
1587270224.3645658,19710,-1003.9796142578125
1587270224.843749,19909,-119.92416381835938
1587270229.2177396,20917,44.81173324584961
1587270229.7571194,21188,-280.0754089355469
