#{"t_start": 1587331698.330293, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-227.257225,62,4.538326
-273.482781,102,4.697821
-332.633387,132,4.911439
-315.84199,90,5.117525
-138.438671,123,5.357423
-189.591519,85,5.513126
-273.181066,70,5.675798
-372.360065,114,5.898423
-77.916176,73,6.004642
-213.58911,80,6.122597
-104.71577,146,6.347339
-210.591086,98,6.493178
-374.846363,98,6.642444
-55.988721,144,6.906046
-334.836335,98,7.055428
-53.830995,101,7.229285
-567.822749,165,7.495587
-86.798996,102,7.64397
-488.856266,141,7.856878
-255.503688,100,8.001394
-241.203755,131,8.209866
-108.644184,159,8.49646
-184.42458,88,8.721379
-308.573006,96,8.868981
-153.341154,95,9.03497
-501.443449,102,9.310315
-203.681467,178,9.604707
-304.387601,97,9.770951
-382.6557,174,10.151419
-136.788416,141,10.424127
-434.310503,124,10.610614
-368.722389,120,10.790939
-138.830647,125,10.979644
-24.205561,105,11.139154
-310.647366,88,11.306898
-172.814491,67,11.407508
-49.930868,78,11.523924
-152.775592,109,11.680959
-405.079308,95,11.894377
-471.973026,112,12.206798
-165.952138,77,12.388968
-210.486773,101,12.572803
-155.646614,74,12.691974
-380.506118,120,12.931777
-472.417638,90,13.148064
-115.036904,150,13.386203
-409.627825,104,13.639975
-186.924597,98,13.936612
-363.39977,90,14.16103
-119.605603,153,14.417586
-363.619254,89,14.547699
-251.402801,127,14.740115
-114.749273,87,14.94151
-278.444504,91,15.104711
-536.926196,125,15.285997
-215.993699,119,15.460664
-160.753461,212,15.796408
-461.081563,128,15.984667
-206.47413,86,16.112621
-302.132238,130,16.301704
-224.005835,124,16.484362
-373.819219,105,16.63454
-438.027829,105,16.786523
-8.310596,156,17.028842
-146.009873,127,17.216558
-421.848202,84,17.334014
13.282795,75,17.446918
-361.664673,86,17.593486
-433.118155,99,17.74646
-95.759549,134,17.949634
-307.126239,67,18.046389
-323.258108,90,18.174852
-438.673098,193,18.471071
-131.572512,105,18.649332
-319.273399,115,18.822298
-107.277956,83,18.942042
-80.217248,133,19.146922
-26.236986,96,19.286051
-451.193721,97,19.425002
-252.519332,94,19.576202
-77.582235,144,19.946224
-79.59742,98,20.171922
-325.662958,113,20.404455
-83.347314,127,20.617791
-589.587128,126,20.977098
-210.940629,81,21.193557
-245.307153,131,21.492945
-362.035443,86,21.620674
-447.454616,110,21.826774
-537.664062,97,22.024883
95.484946,1000,27.105468
-29.645102,381,27.972837
272.002626,310,28.809123
245.393139,554,29.981565
-58.130285,185,30.2953
118.301944,1000,33.474321
136.566462,568,34.972974
217.578933,571,36.475977
117.282161,1000,39.671163
166.577685,315,40.292353
243.302816,280,40.806436
147.332976,282,41.327394
237.695889,441,42.395845
-69.041346,158,42.63434
254.86884,430,43.505471
-91.559873,205,43.828843
-58.024655,273,44.277839
-56.330166,210,44.629328
127.785886,1000,47.717786
229.62077,430,48.557812
178.959339,561,49.901792
-56.232068,206,50.21402
156.610016,674,52.095022
230.621435,795,53.985901
143.531947,1000,56.577865
-50.846192,205,56.913544
114.846574,1000,58.927564
-39.057839,163,59.179338
85.280298,1000,61.666412
204.22502,440,62.616109
82.802146,1000,65.525755
259.256254,516,66.649846
-40.736261,154,66.900082
152.141229,1000,69.114219
216.540114,358,70.026911
165.724506,309,70.823251
214.257371,803,72.918597
202.315234,242,73.344788
-37.805152,164,73.627851
208.599587,393,74.479541
82.875932,1000,77.279089
163.904222,281,77.783506
133.881739,1000,80.147872
257.764799,735,81.614161
-88.737078,472,82.633685
118.722857,1000,84.632853
133.900993,836,86.531414
-64.501145,191,86.814067
182.578628,307,87.364752
167.671859,588,88.609235
-28.138247,1000,92.035248
169.59803,509,93.027861
190.829575,460,94.028153
38.362736,1000,97.315634
179.785082,287,97.861758
222.553887,189,98.267115
183.858308,247,98.796873
229.974957,322,99.486641
-68.921379,184,99.846179
-31.310163,177,100.169529
4.56849,273,100.713
123.174646,1000,103.403964
183.150105,533,105.219855
62.727131,1000,107.554197
232.28708,558,109.125027
-31.037378,351,109.804738
-28.443511,201,110.20628
224.326275,946,112.888284
49.074825,1000,116.452049
236.38439,851,118.708976
215.080096,376,119.458592
120.67861,1000,122.230581
182.353707,582,123.706349
205.491164,333,124.569594
-44.571255,218,125.238136
-63.805016,148,125.513192
-62.910038,196,125.816526
212.320765,295,126.622463
200.055468,275,127.306429
-58.580637,211,127.687927
109.326582,1000,130.995062
-57.794413,188,131.314767
150.268419,343,132.06285
64.700694,1000,134.944266
115.674376,1000,137.743729
187.831565,423,138.767159
150.789936,333,139.406202
153.705009,830,141.0951
234.009527,314,141.639316
-33.882381,131,141.839432
198.954507,465,142.67412
200.732767,290,143.192807
-74.510341,206,143.528789
170.914861,254,144.080936
-28.283342,167,144.454697
-78.724002,206,144.967839
123.86931,1000,148.128328
173.386217,407,149.351348
-40.069313,1000,152.772574
