Wall time,Step,Value
1587269605.6961007,1135,-54.056968688964844
1587269607.0635874,2142,-50.666725158691406
1587269608.39562,3149,-50.99867630004883
1587269609.7612104,4156,-51.94163513183594
1587269611.1239915,5163,-52.90030288696289
1587269612.3528955,6169,-49.36930847167969
1587269613.6847749,7176,-47.68857192993164
1587269615.0458698,8183,-47.5368537902832
1587269616.3852024,9190,-44.38179397583008
1587269617.7105198,10197,-46.08405685424805
1587269618.865512,11203,-42.90643310546875
1587269620.1981506,12210,-40.95637893676758
1587269621.509093,13217,-39.964210510253906
1587269622.8358114,14224,-39.016822814941406
1587269624.190489,15231,-37.380897521972656
1587269625.3842597,16237,-34.86540222167969
1587269626.7282608,17244,-36.65669250488281
1587269628.1005034,18251,-35.01369857788086
1587269629.446637,19258,-31.55453872680664
1587269630.7585516,20265,-30.672672271728516
1587269631.9384422,21271,-29.6486873626709
1587269633.252092,22278,-28.61664581298828
1587269634.5816782,23285,-27.349903106689453
1587269635.9326224,24292,-28.28750991821289
1587269637.2679212,25299,-24.716922760009766
1587269638.4857864,26305,-24.440078735351562
1587269639.8203428,27312,-24.117204666137695
1587269641.1719103,28319,-22.672605514526367
1587269642.4875176,29326,-22.149744033813477
1587269643.8208761,30333,-19.216386795043945
1587269645.0083964,31339,-19.1441650390625
1587269646.371893,32346,-18.514995574951172
1587269647.7036517,33353,-17.049619674682617
1587269649.040854,34360,-17.01686668395996
1587269650.3797371,35367,-15.772652626037598
1587269651.5451365,36373,-15.204110145568848
1587269652.8900661,37380,-15.854126930236816
1587269654.1922507,38387,-14.256041526794434
1587269655.4850547,39394,-12.947179794311523
1587269656.7848146,40401,-12.07466983795166
1587269657.8977,41407,-11.912589073181152
1587269659.165657,42414,-11.69745922088623
1587269660.444434,43421,-10.980730056762695
1587269661.7375708,44428,-9.958063125610352
1587269662.9986477,45435,-10.32360553741455
1587269664.2744846,46442,-9.685896873474121
1587269665.39965,47448,-9.230682373046875
1587269666.6833336,48455,-8.149618148803711
1587269667.9596248,49462,-7.700292587280273
1587269669.2289941,50469,-7.408641338348389
1587269670.5030339,51476,-7.076034069061279
1587269671.6185162,52482,-6.868462562561035
1587269673.6161985,53489,-6.449219703674316
1587269675.5617192,54496,-6.378737926483154
1587269677.4922345,55503,-5.915459156036377
1587269679.434641,56510,-5.468045234680176
1587269680.5882163,57516,-5.959913730621338
1587269681.897688,58523,-5.389753341674805
1587269683.196421,59530,-5.343321323394775
1587269684.497876,60537,-4.64348030090332
1587269685.7863483,61544,-4.581567287445068
1587269686.9484725,62550,-4.141531944274902
1587269688.2475622,63557,-4.196475505828857
1587269689.5614636,64564,-3.891930341720581
1587269690.86867,65571,-4.091495037078857
1587269692.1886559,66578,-3.4999730587005615
1587269693.325691,67584,-3.439789295196533
1587269694.619254,68591,-3.2931461334228516
1587269695.9216146,69598,-3.104137897491455
1587269697.207929,70605,-3.15411376953125
1587269698.5946376,71612,-2.7681498527526855
1587269699.7378092,72618,-2.6841957569122314
1587269701.033194,73625,-2.656893253326416
1587269702.3520927,74632,-2.548147201538086
1587269703.6676333,75639,-2.6039860248565674
1587269704.970596,76646,-2.4821343421936035
1587269706.1218102,77652,-2.0420591831207275
1587269707.4390676,78659,-2.0041370391845703
1587269708.7240005,79666,-1.981535792350769
1587269710.0348518,80673,-1.937251329421997
1587269711.3600378,81680,-1.7706607580184937
1587269712.5205133,82686,-1.818565011024475
1587269713.8234637,83693,-1.5420836210250854
1587269715.1307087,84700,-1.5869766473770142
1587269716.4382956,85707,-1.486644983291626
1587269717.7289743,86714,-1.492213249206543
1587269719.0344906,87721,-1.4819265604019165
1587269720.1615543,88727,-1.3466755151748657
1587269721.4832318,89734,-1.22451913356781
1587269722.7762418,90741,-1.2054840326309204
1587269724.069953,91748,-1.1679869890213013
1587269725.3874922,92755,-1.2147575616836548
1587269726.518416,93761,-1.0175544023513794
1587269727.806217,94768,-1.0131819248199463
1587269729.0942006,95775,-0.9417771100997925
1587269730.4228928,96782,-0.9516741633415222
1587269731.7346237,97789,-0.9712705612182617
1587269732.8665264,98795,-0.8912726640701294
1587269734.1786668,99802,-0.7782410383224487
1587269735.5036452,100809,-0.8267107009887695
1587269736.7982767,101816,-0.82511305809021
1587269738.0811634,102823,-0.7148658037185669
1587269739.2421782,103829,-0.7043082118034363
1587269740.5467184,104836,-0.6422011852264404
1587269741.8624241,105843,-0.6080291867256165
1587269743.1800976,106850,-0.6312991976737976
1587269744.4907277,107857,-0.6325731873512268
1587269745.6537874,108863,-0.6274986267089844
1587269746.935944,109870,-0.566459596157074
1587269748.2369869,110877,-0.5549021363258362
1587269749.5408478,111884,-0.45562756061553955
1587269750.848388,112891,-0.5435784459114075
1587269752.0021877,113897,-0.4723004102706909
1587269753.3122067,114904,-0.4601346254348755
1587269754.6272604,115911,-0.438249409198761
1587269755.9374423,116918,-0.3985190689563751
1587269757.2536297,117925,-0.38619616627693176
1587269758.3922365,118931,-0.38870030641555786
1587269759.7113414,119938,-0.3485337495803833
1587269761.0117273,120945,-0.33299121260643005
1587269762.3303158,121952,-0.3604539930820465
1587269763.6329153,122959,-0.36403724551200867
1587269764.7808173,123965,-0.3284769356250763
1587269766.1151493,124972,-0.31006330251693726
1587269767.4364955,125979,-0.2920018136501312
1587269768.7636993,126986,-0.2863244116306305
1587269770.0774732,127993,-0.2813054025173187
1587269771.3969593,129000,-0.28021615743637085
1587269772.538761,130006,-0.24555043876171112
1587269773.8858001,131013,-0.2509393095970154
1587269775.2051163,132020,-0.25341060757637024
1587269776.5131505,133027,-0.2199126034975052
1587269777.8303137,134034,-0.2236083596944809
1587269778.9730945,135040,-0.20788349211215973
1587269780.286437,136047,-0.20892687141895294
1587269781.6063519,137054,-0.17788365483283997
1587269782.9085705,138061,-0.19462651014328003
1587269784.2128906,139068,-0.193389892578125
1587269785.3570905,140074,-0.17554256319999695
1587269786.6779153,141081,-0.17363384366035461
1587269787.982744,142088,-0.1760251671075821
1587269789.2859435,143095,-0.1515968143939972
1587269790.5678773,144102,-0.15380176901817322
1587269791.725505,145108,-0.15894006192684174
1587269793.0050135,146115,-0.15251632034778595
1587269794.297104,147122,-0.1467641294002533
1587269795.6077816,148129,-0.14593039453029633
1587269796.8785474,149136,-0.12630541622638702
1587269797.9616945,150142,-0.12673445045948029
1587269799.2748716,151149,-0.13315249979496002
1587269800.579845,152156,-0.11710219085216522
1587269801.8686428,153163,-0.10712911933660507
1587269803.1875088,154170,-0.11712240427732468
1587269804.3415897,155176,-0.11415504664182663
1587269805.6897929,156183,-0.1046958863735199
1587269806.989798,157190,-0.09359864890575409
1587269808.268307,158197,-0.10670484602451324
1587269809.574175,159204,-0.09417187422513962
1587269810.753015,160210,-0.0961415022611618
1587269812.0515778,161217,-0.08868410438299179
1587269813.31313,162224,-0.08586186170578003
1587269814.5916727,163231,-0.08280612528324127
1587269815.9053226,164238,-0.07866176217794418
1587269817.044893,165244,-0.07725748419761658
1587269818.3505058,166251,-0.07078109681606293
1587269819.6595404,167258,-0.0736655667424202
1587269820.9827528,168265,-0.07161983102560043
1587269822.276822,169272,-0.06926970183849335
1587269823.4301066,170278,-0.06755582988262177
1587269824.7299147,171285,-0.06729749590158463
1587269826.0447288,172292,-0.06821216642856598
1587269827.3406584,173299,-0.06464260816574097
1587269828.6395843,174306,-0.0591423325240612
1587269829.8999667,175313,-0.0573798231780529
1587269831.0008423,176319,-0.0546114481985569
1587269832.2525392,177326,-0.05818680673837662
1587269833.5133052,178333,-0.05301610752940178
1587269834.8039258,179340,-0.050542086362838745
1587269836.0937495,180347,-0.04913806542754173
1587269837.197261,181353,-0.048968974500894547
1587269838.4529448,182360,-0.05224168673157692
1587269839.7346082,183367,-0.047199882566928864
1587269841.001301,184374,-0.045054491609334946
1587269842.2620528,185381,-0.04407547786831856
1587269843.3755734,186387,-0.04278714209794998
1587269844.6233022,187394,-0.04013222083449364
1587269845.8904474,188401,-0.03951020538806915
1587269847.1576715,189408,-0.03485572710633278
1587269848.4306743,190415,-0.03652937337756157
1587269849.53366,191421,-0.042760591953992844
1587269850.8083975,192428,-0.03907839208841324
1587269852.0707514,193435,-0.037192247807979584
1587269853.3326576,194442,-0.0329444482922554
1587269854.5983913,195449,-0.03549456223845482
1587269855.7210836,196455,-0.037346333265304565
1587269856.9840698,197462,-0.0316862054169178
1587269858.240087,198469,-0.030688166618347168
1587269859.48772,199476,-0.039211396127939224
1587269860.755051,200483,-0.040344104170799255
1587269861.8581145,201489,-0.034938469529151917
1587269863.128101,202496,-0.03254489228129387
1587269864.3777452,203503,-0.03095073439180851
1587269865.6870706,204510,-0.036001693457365036
1587269866.9427674,205517,-0.03319917246699333
1587269868.0456953,206523,-0.03291700780391693
1587269869.3155162,207530,-0.03140394017100334
1587269870.5999405,208537,-0.02833014540374279
1587269871.8619032,209544,-0.025257496163249016
1587269873.1436121,210551,-0.02743547037243843
1587269874.361962,211557,-0.027741270139813423
1587269875.755832,212564,-0.028297357261180878
1587269877.1645827,213571,-0.023717401549220085
1587269878.557928,214578,-0.03148747608065605
1587269879.9556572,215585,-0.02493801899254322
1587269881.347189,216592,-0.023837296292185783
1587269882.5664396,217598,-0.023020971566438675
1587269883.8992612,218605,-0.02255277894437313
1587269885.1517704,219612,-0.022865979000926018
1587269886.4159367,220619,-0.01969974860548973
1587269887.6788478,221626,-0.02044845186173916
1587269888.7882345,222632,-0.01969262585043907
1587269890.060778,223639,-0.020674463361501694
1587269891.3644462,224646,-0.018701598048210144
1587269892.6392605,225653,-0.0185336172580719
1587269893.9204004,226660,-0.016614694148302078
1587269895.039555,227666,-0.01728549227118492
1587269896.3073733,228673,-0.0171939916908741
1587269897.569279,229680,-0.016603894531726837
1587269898.8246071,230687,-0.017202632501721382
1587269900.081051,231694,-0.01803494058549404
1587269901.2293231,232700,-0.01586984097957611
1587269902.5363088,233707,-0.018048720434308052
1587269903.8490825,234714,-0.01528909895569086
1587269905.1358113,235721,-0.015802394598722458
1587269906.466178,236728,-0.015228353440761566
1587269907.655859,237734,-0.016093319281935692
1587269909.04813,238741,-0.01452016830444336
1587269910.4430573,239748,-0.01430475153028965
1587269911.8600354,240755,-0.01327412761747837
1587269913.172421,241762,-0.014162666164338589
1587269914.3131204,242768,-0.013081942684948444
1587269915.6371772,243775,-0.013062050566077232
1587269916.924129,244782,-0.013972293585538864
1587269918.2518551,245789,-0.01290071289986372
1587269919.5633311,246796,-0.011635770089924335
1587269920.7015178,247802,-0.011905998922884464
1587269922.0488956,248809,-0.012706798501312733
1587269923.3674445,249816,-0.012740961275994778
1587269924.6710758,250823,-0.011820146813988686
1587269925.9568782,251830,-0.011015022173523903
1587269927.1263463,252836,-0.010038848035037518
1587269928.4083867,253843,-0.010816633701324463
1587269929.7232718,254850,-0.010696343146264553
1587269931.0711393,255857,-0.010176771320402622
1587269932.3722973,256864,-0.00953698344528675
1587269933.628103,257871,-0.010377440601587296
1587269934.7494147,258877,-0.00948156975209713
1587269936.0555415,259884,-0.009523370303213596
1587269937.3768766,260891,-0.00888359360396862
1587269938.6860125,261898,-0.009586513042449951
1587269939.973949,262905,-0.00877681840211153
1587269941.1139503,263911,-0.009194661863148212
1587269942.443183,264918,-0.01041814312338829
1587269943.7416878,265925,-0.008508236147463322
1587269945.0508828,266932,-0.009095690213143826
1587269946.3618603,267939,-0.008535005152225494
1587269947.5126762,268945,-0.008295267820358276
1587269948.8229358,269952,-0.007900788448750973
1587269950.108806,270959,-0.008387219160795212
1587269951.3868163,271966,-0.007776365149766207
1587269952.6673307,272973,-0.007436463609337807
1587269953.7707071,273979,-0.008133327588438988
1587269955.0468175,274986,-0.008309652097523212
1587269956.3076572,275993,-0.00692311255261302
1587269957.5621037,277000,-0.007424809969961643
1587269958.8376966,278007,-0.007231727242469788
1587269959.9412599,279013,-0.007342594210058451
1587269961.2103457,280020,-0.006818950176239014
1587269962.4807281,281027,-0.00697882566601038
1587269963.727294,282034,-0.0068359896540641785
1587269964.9906533,283041,-0.006495642475783825
1587269966.090959,284047,-0.007499635685235262
1587269967.3635175,285054,-0.009119448252022266
1587269968.6636674,286061,-0.007617654744535685
1587269969.9852777,287068,-0.006760477088391781
1587269971.3029091,288075,-0.0066658384166657925
1587269972.4474504,289081,-0.006880095694214106
1587269973.7287636,290088,-0.00675946893170476
1587269975.0579822,291095,-0.006847685668617487
1587269976.371513,292102,-0.009324698708951473
1587269977.6696374,293109,-0.007518207188695669
1587269978.8222442,294115,-0.0059299105778336525
1587269980.1124558,295122,-0.006203742697834969
1587269981.411524,296129,-0.006240142975002527
1587269982.7330072,297136,-0.005846698768436909
1587269984.0522926,298143,-0.005403183400630951
1587269985.209403,299149,-0.006752236746251583
1587269986.5331907,300156,-0.00532447500154376
1587269987.8487265,301163,-0.005939770489931107
1587269989.153838,302170,-0.005547769833356142
1587269990.4699557,303177,-0.005408762954175472
1587269991.7693133,304184,-0.005454562604427338
1587269992.9237084,305190,-0.005666470155119896
1587269994.2365825,306197,-0.00551594840362668
1587269995.545052,307204,-0.005534838885068893
1587269996.85461,308211,-0.005748650524765253
1587269998.146286,309218,-0.0054746330715715885
1587269999.3654337,310224,-0.005279560573399067
1587270000.6640992,311231,-0.0057894685305655
1587270001.973856,312238,-0.0050886329263448715
1587270003.2923548,313245,-0.00517376558855176
1587270004.6308882,314252,-0.0053738802671432495
1587270005.7750034,315258,-0.005428653210401535
1587270007.085081,316265,-0.004773526452481747
1587270008.3919132,317272,-0.005192445125430822
1587270009.7187867,318279,-0.007284747902303934
1587270011.0379858,319286,-0.006174145732074976
1587270012.1772232,320292,-0.005528479348868132
1587270013.503076,321299,-0.005651907064020634
1587270014.82565,322306,-0.005070852115750313
1587270016.1408114,323313,-0.005001079756766558
1587270017.448234,324320,-0.0050452696159482
1587270018.6333911,325326,-0.004756867419928312
1587270019.9757943,326333,-0.004958492238074541
1587270021.2874608,327340,-0.004743117373436689
1587270022.6132317,328347,-0.004693277645856142
1587270023.9382517,329354,-0.0042482465505599976
1587270025.0784369,330360,-0.004854569211602211
1587270026.3960297,331367,-0.006687001790851355
1587270027.7184136,332374,-0.00721494248136878
1587270029.0480456,333381,-0.0066759767942130566
1587270030.344204,334388,-0.006991916336119175
1587270031.4881864,335394,-0.00598915433511138
1587270032.8002558,336401,-0.004368709400296211
1587270034.1363282,337408,-0.004364689812064171
1587270035.4668088,338415,-0.004159838426858187
1587270036.7797456,339422,-0.004282989539206028
1587270037.9343746,340428,-0.004267358221113682
1587270039.2311468,341435,-0.004094334319233894
1587270040.5601532,342442,-0.005324531812220812
1587270041.8492165,343449,-0.005721246358007193
1587270043.1420457,344456,-0.004375813994556665
1587270044.445303,345463,-0.0043409839272499084
1587270045.6141303,346469,-0.003918275237083435
1587270046.9300022,347476,-0.004232401959598064
1587270048.2460258,348483,-0.004555352497845888
1587270049.553116,349490,-0.003722315886989236
1587270050.8684525,350497,-0.003733973251655698
1587270052.0123332,351503,-0.004273189697414637
1587270053.3000848,352510,-0.00451832776889205
1587270054.600613,353517,-0.003991011530160904
1587270055.9269931,354524,-0.003835760522633791
1587270057.2424164,355531,-0.00390910217538476
1587270058.3793297,356537,-0.0035178831312805414
1587270059.6825922,357544,-0.004343006294220686
1587270060.9925084,358551,-0.0038565071299672127
1587270062.310043,359558,-0.00370064121671021
1587270063.6416574,360565,-0.00510411337018013
1587270064.775791,361571,-0.004280573222786188
1587270066.0913522,362578,-0.003674466861411929
1587270067.4233973,363585,-0.003275010036304593
1587270068.7452748,364592,-0.0034275762736797333
1587270070.0559206,365599,-0.003266008337959647
1587270071.2477388,366605,-0.0034139305353164673
1587270072.5601618,367612,-0.0036263028159737587
1587270073.8607981,368619,-0.003386967582628131
1587270075.1717188,369626,-0.003275176277384162
1587270076.50171,370633,-0.0035363140050321817
1587270077.6447713,371639,-0.003195176599547267
1587270079.441483,372646,-0.003071510698646307
1587270080.7741754,373653,-0.003289470449090004
1587270082.0786448,374660,-0.0031539946794509888
1587270083.3700423,375667,-0.0030401020776480436
1587270084.5389726,376673,-0.003798998426645994
1587270085.8328147,377680,-0.0034874414559453726
1587270087.1506627,378687,-0.0031532999128103256
1587270088.4650223,379694,-0.004003227688372135
1587270089.7902687,380701,-0.004766475409269333
1587270090.9331703,381707,-0.004046413581818342
1587270092.2345917,382714,-0.004156621638685465
1587270093.5471478,383721,-0.003390234662219882
1587270094.8407736,384728,-0.003245305735617876
