#{"t_start": 1587269478.2896154, "env_id": "MountainCarContinuous-v0"}
r,l,t
-100.510052,999,98.664463
-96.085794,999,99.365829
-100.873713,999,100.029736
-99.915867,999,100.678895
-101.959107,999,101.334063
-98.702227,999,101.980722
-99.290417,999,102.635343
-99.3308,999,103.289374
-97.520931,999,103.940494
-96.548968,999,104.596559
-104.406871,999,105.275185
-107.984356,999,105.927667
-101.70967,999,106.594016
-100.929841,999,107.246545
-87.776293,999,107.900238
-104.391218,999,108.553075
-96.234015,999,109.201362
-94.985137,999,109.887561
-94.772428,999,110.616323
-94.780314,999,111.31546
-54.056968,999,127.31114
-50.666725,999,128.665418
-50.998676,999,129.979614
-51.941635,999,131.331571
-52.900302,999,132.683157
-49.369308,999,133.985544
-47.688573,999,135.305839
-47.536853,999,136.61122
-44.381794,999,137.954295
-46.084058,999,139.26171
-42.906433,999,140.490403
-40.95638,999,141.808554
-39.964211,999,143.115739
-39.016821,999,144.422119
-37.380896,999,145.74055
-34.865401,999,147.028688
-36.656693,999,148.339481
-35.013698,999,149.68288
-31.554539,999,151.021343
-30.672672,999,152.328699
-29.648686,999,153.571108
-28.616646,999,154.879112
-27.349902,999,156.188008
-28.28751,999,157.508411
-24.716922,999,158.813883
-24.440078,999,160.115901
-24.117204,999,161.437223
-22.672606,999,162.761415
-22.149743,999,164.07954
-19.216387,999,165.391008
-19.144165,999,166.654656
-18.514995,999,167.99293
-17.049621,999,169.303526
-17.016867,999,170.622328
-15.772652,999,171.940331
-15.20411,999,173.182524
-15.854127,999,174.507467
-14.256041,999,175.81202
-12.94718,999,177.081356
-12.07467,999,178.346558
-11.912589,999,179.554259
-11.697459,999,180.789481
-10.98073,999,182.040857
-9.958063,999,183.329264
-10.323605,999,184.585552
-9.685897,999,185.839179
-9.230682,999,187.034693
-8.149618,999,188.302614
-7.700292,999,189.552496
-7.408641,999,190.803389
-7.076034,999,192.058988
-6.868463,999,193.247709
-6.44922,999,195.174766
-6.378738,999,197.115835
-5.915459,999,199.017953
-5.468045,999,200.92191
-5.959914,999,202.232567
-5.389753,999,203.509281
-5.343321,999,204.787692
-4.64348,999,206.075566
-4.581567,999,207.360978
-4.141532,999,208.579034
-4.196476,999,209.874622
-3.89193,999,211.169969
-4.091495,999,212.444863
-3.499973,999,213.736082
-3.439789,999,214.959877
-3.293146,999,216.236346
-3.104138,999,217.519457
-3.154114,999,218.79359
-2.76815,999,220.170178
-2.684196,999,221.388267
-2.656893,999,222.660814
-2.548147,999,223.948059
-2.603986,999,225.244093
-2.482134,999,226.533814
-2.042059,999,227.760147
-2.004137,999,229.050852
-1.981536,999,230.342985
-1.937251,999,231.634145
-1.770661,999,232.91641
-1.818565,999,234.174343
-1.542084,999,235.440202
-1.586977,999,236.721486
-1.486645,999,238.017203
-1.492213,999,239.312598
-1.481927,999,240.591978
-1.346675,999,241.796833
-1.224519,999,243.095826
-1.205484,999,244.366689
-1.167987,999,245.637413
-1.214758,999,246.927273
-1.017554,999,248.145737
-1.013182,999,249.41574
-0.941777,999,250.696693
-0.951674,999,252.004097
-0.971271,999,253.282314
